Label, X, Y, Image, Width, Height
Person,1275,697,1660546800.jpg,1920,1080
Person,1264,711,1660546800.jpg,1920,1080
Person,1143,629,1660546800.jpg,1920,1080
Person,1091,622,1660546800.jpg,1920,1080
Person,225,823,1660546800.jpg,1920,1080
Person,95,564,1660546800.jpg,1920,1080
Person,152,549,1660546800.jpg,1920,1080
Person,163,558,1660546800.jpg,1920,1080
Person,268,600,1660546800.jpg,1920,1080
Person,363,546,1660546800.jpg,1920,1080
Person,381,544,1660546800.jpg,1920,1080
Person,453,552,1660546800.jpg,1920,1080
Person,619,560,1660546800.jpg,1920,1080
Person,644,568,1660546800.jpg,1920,1080
Person,762,563,1660546800.jpg,1920,1080
Person,778,560,1660546800.jpg,1920,1080
Person,953,537,1660546800.jpg,1920,1080
Person,1169,494,1660546800.jpg,1920,1080
Person,1161,496,1660546800.jpg,1920,1080
Person,1581,498,1660546800.jpg,1920,1080
Person,1856,448,1660546800.jpg,1920,1080
Person,475,534,1660546800.jpg,1920,1080
